timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1741667280000,2025-03-11T04:28:00Z,1842-1-1-001,310,656,233,762,
1741667340000,2025-03-11T04:29:00Z,1842-1-1-001,0,0,0,0,
1741667400000,2025-03-11T04:30:00Z,1842-1-1-001,0,0,0,0,
1741667460000,2025-03-11T04:31:00Z,1842-1-1-001,0,0,0,0,
1741667520000,2025-03-11T04:32:00Z,1842-1-1-001,0,0,0,0,
1741667580000,2025-03-11T04:33:00Z,1842-1-1-001,0,0,0,0,
1741667640000,2025-03-11T04:34:00Z,1842-1-1-001,0,0,0,0,
1741667700000,2025-03-11T04:35:00Z,1842-1-1-001,0,0,0,0,
1741667760000,2025-03-11T04:36:00Z,1842-1-1-001,0,0,0,0,
1741667820000,2025-03-11T04:37:00Z,1842-1-1-001,637,1297,1487,2073,
1741667880000,2025-03-11T04:38:00Z,1842-1-1-001,342,604,1084,1287,
1741667940000,2025-03-11T04:39:00Z,1842-1-1-001,30,265,1027,1061,
1741668000000,2025-03-11T04:40:00Z,1842-1-1-001,76,5,18,78,
1741668060000,2025-03-11T04:41:00Z,1842-1-1-001,73,109,590,604,
1741668120000,2025-03-11T04:42:00Z,1842-1-1-001,188,375,432,602,
1741668180000,2025-03-11T04:43:00Z,1842-1-1-001,2,0,167,167,
1741668240000,2025-03-11T04:44:00Z,1842-1-1-001,0,0,0,0,
1741668300000,2025-03-11T04:45:00Z,1842-1-1-001,0,0,0,0,
1741668360000,2025-03-11T04:46:00Z,1842-1-1-001,0,0,0,0,
1741668420000,2025-03-11T04:47:00Z,1842-1-1-001,0,0,0,0,
1741668480000,2025-03-11T04:48:00Z,1842-1-1-001,0,0,0,0,
1741668540000,2025-03-11T04:49:00Z,1842-1-1-001,1249,1352,2212,2877,
1741668600000,2025-03-11T04:50:00Z,1842-1-1-001,2405,2281,2804,4341,
1741668660000,2025-03-11T04:51:00Z,1842-1-1-001,986,1400,2268,2841,
1741668720000,2025-03-11T04:52:00Z,1842-1-1-001,4121,2957,5085,7182,
1741668780000,2025-03-11T04:53:00Z,1842-1-1-001,589,1477,2035,2582,
1741668840000,2025-03-11T04:54:00Z,1842-1-1-001,78,62,146,176,
1741668900000,2025-03-11T04:55:00Z,1842-1-1-001,197,407,362,579,
1741668960000,2025-03-11T04:56:00Z,1842-1-1-001,0,0,0,0,
1741669020000,2025-03-11T04:57:00Z,1842-1-1-001,352,790,694,1108,
1741669080000,2025-03-11T04:58:00Z,1842-1-1-001,0,0,0,0,
1741669140000,2025-03-11T04:59:00Z,1842-1-1-001,143,375,487,631,
1741669200000,2025-03-11T05:00:00Z,1842-1-1-001,402,1056,1324,1740,
1741669260000,2025-03-11T05:01:00Z,1842-1-1-001,175,911,2728,2881,
1741669320000,2025-03-11T05:02:00Z,1842-1-1-001,180,421,455,645,
1741669380000,2025-03-11T05:03:00Z,1842-1-1-001,175,295,313,464,
1741669440000,2025-03-11T05:04:00Z,1842-1-1-001,0,0,0,0,
1741669500000,2025-03-11T05:05:00Z,1842-1-1-001,0,2,0,2,
1741669560000,2025-03-11T05:06:00Z,1842-1-1-001,151,184,471,527,
1741669620000,2025-03-11T05:07:00Z,1842-1-1-001,12,144,157,213,
